time,gFx,gFy,gFz,gFTotal
2019-07-15 17:58:48.1880,0.051,-0.093,-0.904,0.91
2019-07-15 17:58:48.1890,0.051,-0.093,-0.904,0.91
2019-07-15 17:58:48.1970,0.051,-0.093,-0.904,0.91
2019-07-15 17:58:48.2030,0.055,-0.152,-0.949,0.963
2019-07-15 17:58:48.2090,-0.013,-0.162,-1.02,1.033
2019-07-15 17:58:48.2340,-0.006,-0.238,-1.116,1.141
2019-07-15 17:58:48.2350,-0.006,-0.238,-1.116,1.141
2019-07-15 17:58:48.2430,-0.071,-0.334,-1.071,1.124
2019-07-15 17:58:48.2480,-0.098,-0.424,-1.108,1.19
2019-07-15 17:58:48.2590,-0.067,-0.499,-1.154,1.259
2019-07-15 17:58:48.2680,-0.088,-0.475,-1.014,1.123
2019-07-15 17:58:48.2780,-0.087,-0.4,-0.834,0.929
2019-07-15 17:58:48.2930,-0.024,-0.354,-0.725,0.807
2019-07-15 17:58:48.3020,0.093,-0.368,-0.715,0.81
2019-07-15 17:58:48.3090,0.153,-0.324,-0.763,0.843
2019-07-15 17:58:48.3340,0.445,-0.037,-1.235,1.313
2019-07-15 17:58:48.3340,0.445,-0.037,-1.235,1.313
2019-07-15 17:58:48.3420,0.26,-0.115,-1.029,1.068
2019-07-15 17:58:48.3470,0.16,-0.143,-0.757,0.787
2019-07-15 17:58:48.3580,0.241,-0.169,-0.761,0.816
2019-07-15 17:58:48.3670,0.302,-0.157,-0.788,0.858
2019-07-15 17:58:48.3780,0.286,-0.238,-0.834,0.913
2019-07-15 17:58:48.3910,0.175,-0.319,-0.824,0.901
2019-07-15 17:58:48.4000,0.199,-0.309,-0.748,0.833
2019-07-15 17:58:48.4070,0.347,-0.244,-0.714,0.831
2019-07-15 17:58:48.4320,0.482,-0.164,-0.722,0.883
2019-07-15 17:58:48.4330,0.482,-0.164,-0.722,0.883
2019-07-15 17:58:48.4410,0.384,-0.175,-0.682,0.802
2019-07-15 17:58:48.4470,0.339,-0.168,-0.66,0.761
2019-07-15 17:58:48.4560,0.386,-0.196,-0.721,0.841
2019-07-15 17:58:48.4660,0.313,-0.369,-0.783,0.92
2019-07-15 17:58:48.4770,0.169,-0.472,-0.814,0.956
2019-07-15 17:58:48.4900,0.132,-0.396,-0.915,1.006
2019-07-15 17:58:48.4990,0.063,-0.416,-0.955,1.044
2019-07-15 17:58:48.5060,0.017,-0.448,-0.93,1.032
2019-07-15 17:58:48.5320,0.027,-0.389,-1.026,1.098
2019-07-15 17:58:48.5320,0.027,-0.389,-1.026,1.098
2019-07-15 17:58:48.5390,0.025,-0.371,-1.034,1.099
2019-07-15 17:58:48.5470,-0.006,-0.361,-0.981,1.045
2019-07-15 17:58:48.5560,-0.027,-0.293,-1.051,1.091
2019-07-15 17:58:48.5660,-0.02,-0.271,-0.897,0.937
2019-07-15 17:58:48.5760,0.314,-0.402,-0.756,0.912
2019-07-15 17:58:48.5890,0.487,-0.376,-0.777,0.991
2019-07-15 17:58:48.5980,0.346,-0.24,-0.9,0.994
2019-07-15 17:58:48.6050,0.283,-0.374,-0.862,0.981
